"Tijdstempel","Have you participated in this survey before?","Do you use the UberEats food delivery application on your phone?","What is your age?","What is your gender?","Where do you currently live?","What is your highest education level?","What is your occupation?","What is your income level?","Does the UberEats application send you push notifications about ordering food?","The push notifications by UberEats have an influence on me. ","The push notifications by UberEats are convincing.","The push notifications by UberEats are personally relevant for me.","Do not choose the option yes. This is to make sure you are paying attention.","The push notifications by UberEats make me order food on UberEats more often.","I am able to consume fruits and vegetables in most of my meals.","I am able to eat a variety of healthy foods to keep my diet balanced.","Based on my knowledge of nutrition, I am able to choose healthy foods at restaurants and from stores.","I am able to modify recipes to make them healthier.","If you are paying attention, choose number 4","I am able to choose recipes based on nutritional value.","If I choose to indulge in unhealthy food, I am able to appropriately compensate later.","When I feel hungry, I am able to easily choose healthy food over less healthy options."
"2023/05/15 11:35:26 a.m. EEST","No","Yes","18-24","Female","China","High school degree","Student","Less than €20,000","Yes","3","3","4","No","3","3","2","2","2","4","2","2","2"
"2023/05/15 12:02:59 p.m. EEST","No","Yes","18-24","Male","Angola","Doctorate degree","Part-time employed","Less than €20,000","Yes","4","3","3","Yes","4","5","4","4","4","5","3","4","4"
"2023/05/15 12:14:52 p.m. EEST","No","No","18-24","Male","Belgium","Bachelor degree","Student","Less than €20,000","No","1","1","1","No","1","4","3","4","4","4","4","3","3"
"2023/05/15 1:20:50 p.m. EEST","No","Yes","25-34","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","4","4","5","No","3","5","5","5","5","4","5","4","4"
"2023/05/15 1:24:04 p.m. EEST","No","Yes","25-34","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","2","4","No","2","4","5","4","4","4","2","1","1"
"2023/05/15 1:44:56 p.m. EEST","No","Yes","18-24","Male","Netherlands","High school degree","Student","Less than €20,000","No","2","3","4","No","3","4","4","4","3","4","4","3","2"
"2023/05/15 1:55:30 p.m. EEST","No","Yes","25-34","Male","Netherlands","Master degree","Student","Less than €20,000","Yes","3","3","4","No","2","2","3","4","3","4","4","3","4"
"2023/05/15 2:39:13 p.m. EEST","No","Yes","18-24","Female","Poland","Bachelor degree","Full-time employed","Less than €20,000","No","1","1","1","No","2","4","4","4","4","4","3","2","2"
"2023/05/15 2:58:12 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","4","2","No","3","4","2","4","2","4","2","4","4"
"2023/05/15 3:41:30 p.m. EEST","No","No","35-44","Other","Austria","Less then high school","Full-time employed","Less than €20,000","No","2","2","2","No","2","2","2","3","2","3","3","3","3"
"2023/05/15 3:48:26 p.m. EEST","No","Yes","18-24","Female","Belgium","Bachelor degree","Student","Prefer not to say","No","2","3","4","No","3","1","2","3","2","4","3","4","2"
"2023/05/15 4:08:41 p.m. EEST","Yes","No","45-54","Female","Netherlands","High school degree","Full-time employed","Less than €20,000","Yes","4","4","5","No","4","2","3","3","2","4","4","1","4"
"2023/05/15 5:10:21 p.m. EEST","No","Yes","25-34","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","2","2","No","2","4","4","5","3","4","5","5","4"
"2023/05/15 6:41:28 p.m. EEST","No","Yes","18-24","Female","Belgium","Bachelor degree","Student","Less than €20,000","Yes","3","2","2","No","2","2","4","2","1","4","1","1","5"
"2023/05/15 8:23:12 p.m. EEST","No","No","18-24","Male","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","4","2","No","3","4","4","4","5","4","2","4","4"
"2023/05/15 8:24:29 p.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","No","3","2","4","No","2","4","4","4","3","4","4","3","3"
"2023/05/15 9:23:49 p.m. EEST","No","Yes","25-34","Male","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","3","3","3","No","2","2","3","5","3","4","4","5","4"
"2023/05/15 9:25:45 p.m. EEST","No","Yes","25-34","Male","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","3","3","3","No","3","2","3","4","2","4","4","4","4"
"2023/05/15 10:59:07 p.m. EEST","No","Yes","18-24","Male","Netherlands","Master degree","Student","Less than €20,000","Yes","2","2","3","No","1","5","5","5","3","4","3","4","4"
"2023/05/15 11:18:15 p.m. EEST","No","Yes","18-24","Female","Austria","Bachelor degree","Student","Between €20,000-€50,000","Yes","2","2","3","No","1","4","4","4","5","4","4","4","4"
"2023/05/16 3:08:25 a.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","3","1","1","No","1","5","5","3","4","4","4","4","2"
"2023/05/16 1:43:45 p.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","1","1","1","No","1","4","4","5","4","4","4","5","5"
"2023/05/16 1:51:17 p.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","3","4","4","No","4","5","4","4","5","4","3","4","2"
"2023/05/16 2:47:22 p.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Part-time employed","Less than €20,000","No","3","4","2","No","3","3","2","4","2","4","4","3","3"
"2023/05/16 4:49:36 p.m. EEST","No","Yes","18-24","Female","Belgium","Master degree","Student","Less than €20,000","Yes","3","2","2","No","4","5","5","4","4","4","4","5","4"
"2023/05/16 5:01:22 p.m. EEST","No","Yes","18-24","Male","Netherlands","Master degree","Student","Less than €20,000","Yes","2","3","5","No","2","5","5","5","5","4","5","5","5"
"2023/05/16 5:02:58 p.m. EEST","No","Yes","18-24","Male","Netherlands","Master degree","Student","Less than €20,000","Yes","2","2","4","No","2","5","5","5","5","4","5","5","5"
"2023/05/16 5:15:52 p.m. EEST","No","Yes","18-24","Female","Belgium","Master degree","Student","Less than €20,000","Yes","3","3","2","No","4","1","1","1","1","4","1","4","1"
"2023/05/16 5:31:09 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","3","3","5","No","3","4","4","4","4","4","4","5","3"
"2023/05/16 5:32:49 p.m. EEST","No","Yes","25-34","Female","Australia","Bachelor degree","Full-time employed","Between €20,000-€50,000","Yes","2","3","4","No","4","2","3","2","3","4","3","2","1"
"2023/05/16 6:09:47 p.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","1","2","2","No","3","4","4","4","4","4","4","5","2"
"2023/05/16 6:10:30 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","3","4","No","2","5","5","4","5","4","3","3","2"
"2023/05/16 7:04:00 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","4","1","No","2","3","4","3","4","4","4","4","3"
"2023/05/16 7:53:13 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","1","3","4","No","1","5","4","4","4","4","5","4","4"
"2023/05/16 10:29:38 p.m. EEST","No","Yes","18-24","Female","United States","Bachelor degree","Part-time employed","Less than €20,000","Yes","4","2","2","No","4","5","5","4","5","4","5","4","5"
"2023/05/17 12:32:00 p.m. EEST","No","No","18-24","Female","Netherlands","Some college, no degree","Student","Less than €20,000","Yes","3","2","2","No","4","5","5","4","4","4","4","4","3"
"2023/05/17 12:55:32 p.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","3","3","4","No","4","4","4","4","3","4","1","2","2"
"2023/05/17 1:13:27 p.m. EEST","No","Yes","35-44","Female","United Kingdom","Master degree","Full-time employed","Between €20,000-€50,000","Yes","2","2","1","No","1","5","5","4","4","4","5","5","4"
"2023/05/17 2:17:17 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","4","4","4","No","3","4","5","5","3","4","5","5","1"
"2023/05/17 2:19:44 p.m. EEST","No","No","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","No","2","2","2","No","2","4","4","4","4","4","3","2","2"
"2023/05/17 3:26:26 p.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","4","4","Yes","4","5","5","5","5","4","5","5","5"
"2023/05/17 5:31:31 p.m. EEST","No","Yes","18-24","Female","Netherlands","Some college, no degree","Student","Less than €20,000","Yes","4","3","2","No","4","5","5","4","5","4","5","3","4"
"2023/05/17 5:46:29 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","No","1","1","2","No","1","5","5","4","5","4","3","3","3"
"2023/05/17 6:27:38 p.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Student","Prefer not to say","Yes","1","3","3","No","1","4","4","4","3","4","3","2","3"
"2023/05/17 8:44:21 p.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Student","Less than €20,000","No","2","4","3","No","2","3","4","4","2","4","4","3","2"
"2023/05/17 10:01:20 p.m. EEST","No","Yes","25-34","Male","United Kingdom","Bachelor degree","Full-time employed","Between €20,000-€50,000","Yes","2","2","2","No","1","4","4","5","5","4","5","5","5"
"2023/05/18 7:23:54 a.m. EEST","No","Yes","18-24","Female","Australia","High school degree","Student","Less than €20,000","Yes","4","4","3","No","3","5","5","5","4","4","4","2","4"
"2023/05/18 8:48:26 a.m. EEST","Yes","Yes","55-64","Male","Netherlands","Master degree","Full-time employed","Less than €20,000","Yes","2","2","2","No","2","3","3","2","2","4","1","4","2"
"2023/05/18 12:44:11 p.m. EEST","No","Yes","25-34","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","3","3","4","No","2","4","3","3","2","4","3","4","2"
"2023/05/18 4:30:16 p.m. EEST","No","No","18-24","Female","Netherlands","Master degree","Part-time employed","Less than €20,000","No","2","4","2","No","2","4","4","4","4","4","4","4","3"
"2023/05/18 4:31:28 p.m. EEST","No","No","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","No","2","2","2","No","4","4","4","4","4","4","4","4","4"
"2023/05/18 5:39:14 p.m. EEST","No","Yes","18-24","Male","United Kingdom","Bachelor degree","Full-time employed","Between €20,000-€50,000","Yes","3","3","3","No","5","4","3","4","3","4","3","1","1"
"2023/05/18 5:55:32 p.m. EEST","No","No","25-34","Female","Netherlands","Bachelor degree","Student","Less than €20,000","No","1","1","1","No","1","4","4","5","5","4","5","5","5"
"2023/05/18 7:06:53 p.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Student","Prefer not to say","Yes","1","1","1","Yes","1","4","4","4","4","4","4","4","4"
"2023/05/18 8:11:35 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","4","4","4","No","4","4","4","4","4","4","3","2","2"
"2023/05/18 10:22:44 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","4","4","4","No","3","5","4","5","5","4","4","3","2"
"2023/05/18 10:28:37 p.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Full-time employed","Between €20,000-€50,000","Yes","4","4","5","No","4","2","4","5","5","4","4","2","1"
"2023/05/19 10:38:45 a.m. EEST","No","Yes","18-24","Female","Netherlands","High school degree","Full-time employed","Less than €20,000","Yes","2","2","4","No","4","4","4","4","2","4","4","2","1"
"2023/05/19 1:25:07 p.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","4","3","3","No","2","5","4","4","4","4","4","4","3"
"2023/05/19 1:57:29 p.m. EEST","No","Yes","25-34","Male","Netherlands","Bachelor degree","Full-time employed","Between €50,000-€80,000","No","2","1","2","No","2","3","4","3","4","4","2","3","2"
"2023/05/19 2:00:52 p.m. EEST","Yes","Yes","25-34","Male","Netherlands","Bachelor degree","Full-time employed","Between €50,000-€80,000","Yes","2","2","2","No","4","3","2","3","4","4","2","3","4"
"2023/05/19 2:04:01 p.m. EEST","No","Yes","25-34","Male","Netherlands","Bachelor degree","Student","Between €20,000-€50,000","Yes","2","2","4","No","2","4","4","4","4","4","4","4","4"
"2023/05/19 4:21:58 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","4","3","4","No","4","5","5","5","5","4","5","5","5"
"2023/05/19 4:29:28 p.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","1","1","1","No","3","4","5","5","5","4","5","4","5"
"2023/05/19 6:51:45 p.m. EEST","No","Yes","18-24","Male","Argentina","Some college, no degree","Student","Less than €20,000","Yes","2","3","2","No","2","5","5","4","2","4","2","3","2"
"2023/05/19 7:02:29 p.m. EEST","Yes","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","4","4","5","No","4","4","4","5","5","4","4","5","2"
"2023/05/19 9:19:24 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","4","2","No","2","2","2","2","4","4","1","3","3"
"2023/05/19 10:07:18 p.m. EEST","No","Yes","18-24","Female","Saudi Arabia","Master degree","Student","Prefer not to say","Yes","3","3","4","No","3","4","4","4","4","4","4","3","3"
"2023/05/19 10:34:24 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","3","2","2","No","2","2","2","3","3","4","2","4","2"
"2023/05/19 10:35:58 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","3","2","2","No","1","2","2","2","2","4","2","2","2"
"2023/05/20 1:04:15 p.m. EEST","No","Yes","Under 18","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","2","4","No","2","5","4","5","5","4","4","4","2"
"2023/05/20 3:51:19 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Part-time employed","Less than €20,000","No","1","1","2","No","3","4","4","4","4","4","4","5","4"
"2023/05/20 3:57:48 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","2","2","No","2","5","4","4","4","4","4","4","3"
"2023/05/20 4:05:05 p.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Part-time employed","Less than €20,000","Yes","4","2","3","No","2","4","4","4","2","4","4","3","4"
"2023/05/20 4:52:36 p.m. EEST","No","No","18-24","Male","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","4","4","3","No","2","4","2","2","1","4","3","2","2"
"2023/05/20 10:31:54 p.m. EEST","No","Yes","18-24","Male","Netherlands","Master degree","Full-time employed","Less than €20,000","Yes","4","2","4","No","4","5","4","5","2","4","3","4","3"
"2023/05/20 11:00:51 p.m. EEST","No","Yes","25-34","Male","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","3","2","No","3","3","3","3","4","4","4","4","3"
"2023/05/20 11:47:13 p.m. EEST","Yes","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","4","4","5","No","3","5","5","5","5","4","5","4","2"
"2023/05/21 1:03:36 a.m. EEST","No","Yes","25-34","Male","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","2","2","No","2","3","3","4","4","4","4","4","3"
"2023/05/21 6:46:38 a.m. EEST","No","Yes","18-24","Female","Canada","Bachelor degree","Part-time employed","Less than €20,000","Yes","3","2","2","No","2","2","2","2","2","4","3","3","3"
"2023/05/21 1:05:03 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","3","3","No","2","4","4","4","3","4","4","4","4"
"2023/05/21 4:21:11 p.m. EEST","No","No","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","No","3","3","3","No","3","4","4","5","4","4","4","3","4"
"2023/05/21 4:36:57 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","3","2","2","No","2","4","4","4","5","4","3","3","3"
"2023/05/21 5:31:58 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Part-time employed","Less than €20,000","Yes","3","3","3","No","3","5","5","5","5","4","4","4","2"
"2023/05/21 5:32:46 p.m. EEST","No","No","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","No","1","1","1","No","1","3","4","4","4","4","3","4","4"
"2023/05/21 5:44:28 p.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","4","2","5","No","4","3","4","4","4","4","4","4","2"
"2023/05/22 12:43:59 p.m. EEST","No","No","18-24","Male","Netherlands","Bachelor degree","Student","Less than €20,000","No","2","3","3","No","2","4","4","4","4","4","3","5","5"
"2023/05/22 2:54:49 p.m. EEST","No","Yes","25-34","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","2","4","No","2","4","4","3","4","4","4","4","2"
"2023/05/22 2:56:47 p.m. EEST","No","Yes","25-34","Female","France","Bachelor degree","Student","Less than €20,000","Yes","4","4","4","No","4","5","4","4","4","4","4","2","4"
"2023/05/22 3:22:39 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","4","3","4","No","3","4","4","4","4","4","4","2","4"
"2023/05/22 5:03:58 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","1","3","2","No","1","1","3","3","2","4","3","5","4"
"2023/05/22 5:21:49 p.m. EEST","No","No","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","No","4","2","4","No","2","4","4","4","5","4","5","3","3"
"2023/05/22 5:40:59 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","1","1","1","No","1","3","4","4","4","4","4","5","2"
"2023/05/22 10:28:47 p.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Part-time employed","Less than €20,000","Yes","3","3","4","No","4","4","4","4","4","4","4","3","4"
"2023/05/22 11:20:08 p.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Student","Between €20,000-€50,000","No","1","4","1","No","1","3","2","2","4","4","4","4","2"
"2023/05/22 11:29:55 p.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","4","3","2","No","4","5","5","5","5","4","5","5","5"
"2023/05/23 1:49:35 a.m. EEST","No","Yes","18-24","Female","Belgium","Bachelor degree","Student","Prefer not to say","Yes","2","2","4","No","1","4","2","3","4","4","3","2","3"
"2023/05/23 2:52:50 a.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Prefer not to say","Yes","3","3","3","No","3","4","4","4","4","4","4","3","2"
"2023/05/23 1:53:42 p.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Part-time employed","Between €20,000-€50,000","Yes","2","2","3","No","2","4","4","3","4","4","4","3","4"
"2023/05/23 2:28:17 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","4","4","5","No","3","4","2","4","4","4","5","5","5"
"2023/05/23 2:57:54 p.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","4","4","4","No","4","2","4","3","4","4","2","4","4"
"2023/05/23 3:16:26 p.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","3","3","2","No","4","4","4","4","3","4","3","4","2"
"2023/05/23 3:25:08 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","1","1","1","No","1","5","5","5","5","4","5","5","1"
"2023/05/23 3:35:41 p.m. EEST","No","Yes","25-34","Male","Netherlands","Master degree","Student","Less than €20,000","No","1","1","1","No","1","4","4","4","2","4","2","4","2"
"2023/05/23 3:47:08 p.m. EEST","No","Yes","25-34","Female","Netherlands","Master degree","Student","Prefer not to say","Yes","3","3","2","No","2","3","3","2","2","4","3","2","3"
"2023/05/23 3:57:56 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","2","4","No","2","5","5","5","4","4","4","4","4"
"2023/05/23 4:14:00 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","4","2","2","No","2","4","4","4","4","4","5","4","4"
"2023/05/23 4:23:06 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Part-time employed","Less than €20,000","Yes","4","4","4","No","4","2","2","2","2","4","1","5","1"
"2023/05/23 5:29:05 p.m. EEST","No","Yes","18-24","Female","Netherlands","High school degree","Student","Less than €20,000","Yes","4","4","4","No","2","4","4","3","2","4","2","3","3"
"2023/05/23 8:36:31 p.m. EEST","No","Yes","18-24","Male","Netherlands","Master degree","Student","Less than €20,000","Yes","3","4","4","No","4","4","4","2","4","4","1","5","4"
"2023/05/23 8:36:44 p.m. EEST","No","No","25-34","Male","France","High school degree","Student","Less than €20,000","No","3","3","3","No","3","3","3","3","3","2","1","2","5"
"2023/05/23 10:11:52 p.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","No","3","3","3","No","3","4","4","4","4","4","3","5","2"
"2023/05/23 11:21:21 p.m. EEST","No","Yes","18-24","Female","Netherlands","Some college, no degree","Full-time employed","Less than €20,000","Yes","3","3","4","No","4","4","3","4","4","4","3","3","4"
"2023/05/24 12:31:54 a.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","4","4","5","No","4","4","3","3","2","4","3","4","1"
"2023/05/24 12:50:12 a.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","1","1","3","No","2","4","4","4","5","4","4","4","3"
"2023/05/24 3:07:30 a.m. EEST","No","No","18-24","Male","United States","Some college, no degree","Student","Between €20,000-€50,000","No","5","2","4","No","5","4","2","4","1","4","2","2","5"
"2023/05/25 2:00:45 a.m. EEST","No","Yes","25-34","Female","Australia","Bachelor degree","Student","Less than €20,000","Yes","3","2","4","No","1","5","5","5","5","4","5","5","5"
"2023/05/25 2:02:09 a.m. EEST","No","Yes","25-34","Female","Australia","Bachelor degree","Student","Less than €20,000","Yes","3","2","4","No","1","5","5","5","5","4","5","5","5"
"2023/05/25 3:05:59 p.m. EEST","No","No","25-34","Female","Germany","Bachelor degree","Student","Less than €20,000","No","4","4","1","Yes","3","5","4","4","4","4","5","5","3"
"2023/05/26 2:31:16 a.m. EEST","Yes","Yes","18-24","Female","United Kingdom","Bachelor degree","Part-time employed","Less than €20,000","Yes","3","2","3","No","4","2","3","2","2","4","2","3","3"
"2023/05/26 2:32:47 a.m. EEST","Yes","Yes","18-24","Female","United Kingdom","Bachelor degree","Part-time employed","Less than €20,000","Yes","2","3","3","No","3","3","2","2","3","4","3","2","3"
"2023/05/26 12:04:47 p.m. EEST","No","No","25-34","Female","Taiwan","Bachelor degree","Student","Less than €20,000","No","1","1","1","No","1","2","3","5","4","4","5","5","5"
"2023/05/26 9:45:26 p.m. EEST","No","Yes","25-34","Male","United States","Doctorate degree","Student","Between €20,000-€50,000","No","1","1","1","No","1","1","1","3","4","4","4","5","1"
"2023/05/27 12:08:24 a.m. EEST","No","No","18-24","Male","United States","Less then high school","Student","Less than €20,000","Yes","2","2","3","No","2","4","4","3","3","4","4","2","2"
"2023/05/27 5:12:07 p.m. EEST","No","Yes","25-34","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","3","4","3","No","4","4","4","4","4","4","4","4","4"
"2023/06/02 3:17:14 p.m. EEST","No","Yes","25-34","Male","United States","Some college, no degree","Full-time employed","Between €20,000-€50,000","Yes","2","2","3","No","2","5","4","4","4","4","4","3","3"
